timestamp,close,high,low
2026-04-28 16:00:00,76331.9,76482.1,75875.3
2026-04-29 00:00:00,77038.4,77418.7,76181.5
2026-04-29 08:00:00,75880.5,77888.0,75700.0
2026-04-29 16:00:00,75750.3,76203.2,74940.0
2026-04-30 00:00:00,76112.7,76413.8,75290.9
2026-04-30 08:00:00,76441.9,76634.1,75869.3
2026-04-30 16:00:00,76313.0,76525.9,76094.6
2026-05-01 00:00:00,77106.5,77395.2,76284.2
2026-05-01 08:00:00,78454.4,78900.0,77027.8
2026-05-01 16:00:00,78235.3,78671.7,77773.6
2026-05-02 00:00:00,78205.0,78509.0,78045.0
2026-05-02 08:00:00,78473.6,78473.6,78105.0
2026-05-02 16:00:00,78660.0,79140.0,78303.2
2026-05-03 00:00:00,78360.1,78764.8,78078.7
2026-05-03 08:00:00,78652.4,78883.2,78352.9
2026-05-03 16:00:00,78547.4,79400.0,78489.2
2026-05-04 00:00:00,79689.7,80597.2,78267.0
2026-05-04 08:00:00,80024.3,80517.9,78209.2
2026-05-04 16:00:00,79843.7,80770.7,79624.6
2026-05-05 00:00:00,80858.9,81303.3,79808.0
2026-05-05 08:00:00,81535.9,81708.9,80520.0
2026-05-05 16:00:00,80900.8,81765.8,80794.7
2026-05-06 00:00:00,81344.1,81771.8,80728.1
2026-05-06 08:00:00,81700.1,82790.9,81149.2
2026-05-06 16:00:00,81438.0,81871.8,81000.0
2026-05-07 00:00:00,81510.7,81705.0,80750.0
2026-05-07 08:00:00,79860.0,81585.9,79720.7
2026-05-07 16:00:00,80011.5,80352.4,79368.7
2026-05-08 00:00:00,79666.8,80113.1,79168.1
2026-05-08 08:00:00,80114.9,80465.8,79529.9
2026-05-08 16:00:00,80196.9,80400.0,79730.0
2026-05-09 00:00:00,80216.7,80653.8,80124.0
2026-05-09 08:00:00,80518.8,80584.3,80175.5
2026-05-09 16:00:00,80670.1,81050.0,80488.8
2026-05-10 00:00:00,80728.0,80844.8,80561.3
2026-05-10 08:00:00,81400.0,81400.0,80666.9
2026-05-10 16:00:00,82171.8,82436.6,80301.0
2026-05-11 00:00:00,80716.8,82345.1,80508.3
2026-05-11 08:00:00,81398.4,81409.2,80421.5
2026-05-11 16:00:00,81730.5,82100.0,81330.0
2026-05-12 00:00:00,80850.0,81760.4,80700.0
2026-05-12 08:00:00,80332.9,80973.3,80168.5
2026-05-12 16:00:00,80492.3,80872.7,79844.4
2026-05-13 00:00:00,81004.7,81255.6,80400.0
2026-05-13 08:00:00,78780.1,81277.0,78758.6
2026-05-13 16:00:00,79292.1,79774.1,78720.9
2026-05-14 00:00:00,79725.4,79935.4,78901.6
2026-05-14 08:00:00,81299.9,81300.0,79207.5
2026-05-14 16:00:00,81070.1,82017.4,81038.0
2026-05-15 00:00:00,80814.9,81646.5,80276.8
2026-05-15 08:00:00,79131.6,80822.2,78620.0
2026-05-15 16:00:00,79062.5,79509.8,78843.2
2026-05-16 00:00:00,78343.8,79175.0,78031.1
2026-05-16 08:00:00,78208.8,78476.5,77624.4
2026-05-16 16:00:00,78122.8,78316.7,78106.4
2026-05-17 00:00:00,78146.3,78274.9,77700.1
2026-05-17 08:00:00,78015.9,78579.1,77829.6
2026-05-17 16:00:00,77410.0,78420.2,76642.3
2026-05-18 00:00:00,77021.5,77439.7,76561.0
2026-05-18 08:00:00,76341.5,77745.5,76020.8
2026-05-18 16:00:00,76946.5,77160.0,76099.9
2026-05-19 00:00:00,77175.5,77336.2,76391.6
